#1.2													
20812	12												
Name	Description	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6	Polyp_1	Polyp_2	Polyp_3	Polyp_4	Polyp_5	Polyp_6
ACBD7	na	3.944113864	1.330458243	4.893175368	6.239577161	3.61542074	3.593168384	1.722365094	1.592753413	2.135646832	1.024152648	2.36284934	1.646353859
ASIC2	na	1.281148851	1.330458243	0.369613412	3.069652159	-0.472042101	2.008205883	0.137402593	0.370360991	-0.186281263	1.024152648	0.77788684	0.061391358
ASIC1	na	-0.30381365	1.330458243	1.954575913	3.069652159	1.1129204	2.008205883	0.137402593	2.485838209	1.398681238	1.024152648	0.77788684	0.061391358
ASIC3	na	-0.30381365	1.330458243	1.954575913	3.069652159	-0.472042101	2.008205883	0.137402593	1.592753413	1.398681238	1.024152648	0.77788684	2.383319453
ASIC5	na	-0.30381365	1.330458243	0.369613412	3.069652159	-0.472042101	2.008205883	0.137402593	-1.214601509	-0.186281263	1.024152648	0.77788684	0.061391358
ACCS	na	3.783649191	4.789889861	4.457076253	3.069652159	2.987389518	3.593168384	3.837842311	5.014217181	4.671699732	4.194077649	3.585241762	4.148854199
ACCSL	na	1.281148851	2.915420743	2.691541507	3.069652159	1.1129204	5.467637502	0.137402593	1.955323492	2.135646832	1.024152648	0.77788684	0.061391358
ACD	na	2.018114445	1.330458243	4.276504008	3.069652159	1.849885994	6.652062073	3.596834212	4.716135828	4.858112856	2.609115148	0.77788684	2.86874628
ACE	na	2.503541272	3.652386338	0.369613412	3.069652159	-0.472042101	2.008205883	3.307327595	3.177715913	4.337280693	3.346080743	0.77788684	3.968281954
ACE2	na	1.281148851	2.915420743	0.369613412	3.069652159	1.849885994	2.008205883	2.459330688	0.370360991	-0.186281263	2.609115148	4.684777435	1.646353859
ACER1	na	2.866111352	1.330458243	2.691541507	3.069652159	-0.472042101	2.008205883	0.137402593	1.955323492	-0.186281263	1.024152648	0.77788684	1.646353859
ACER2	na	5.5788294	5.030897961	5.124500914	4.65461466	5.505237822	6.763093385	4.781258783	5.014217181	3.273150356	2.609115148	4.478326558	5.7338167
ACER3	na	2.503541272	2.915420743	2.691541507	3.069652159	5.200383241	3.593168384	4.224865435	2.692289086	4.337280693	4.194077649	2.36284934	3.231316359
ACHE	na	1.281148851	1.330458243	0.369613412	3.069652159	-0.472042101	2.008205883	0.137402593	0.370360991	-0.186281263	1.024152648	0.77788684	0.061391358
ACIN1	na	7.044914504	6.756722997	5.013469602	3.069652159	7.193293816	2.008205883	7.699645018	8.030951197	5.83608655	8.318773397	6.610776854	7.51260247
ACLY	na	3.944113864	4.500383244	4.457076253	3.069652159	4.482154209	4.330133978	4.892290096	5.553582815	5.83608655	4.931043243	5.822280959	5.190674375
ACMSD	na	-0.30381365	1.330458243	0.369613412	3.069652159	-0.472042101	2.008205883	0.137402593	-1.214601509	-0.186281263	1.024152648	0.77788684	0.061391358
ACN9	na	6.464370675	4.137813165	5.727165417	3.069652159	6.876686053	4.330133978	6.159770406	5.65576321	5.239983492	5.111615489	5.907169856	4.584953314
ACO1	na	2.866111352	5.030897961	3.829045031	3.069652159	2.987389518	2.008205883	2.459330688	4.975223049	5.023172103	4.724592366	2.36284934	5.190674375
ACO2	na	3.155617969	4.789889861	3.539538414	3.069652159	2.335312821	4.330133978	5.752112437	5.774083177	6.188758168	5.77904015	3.585241762	5.7338167
ACOT11	na	2.503541272	3.652386338	6.202503426	3.069652159	-0.472042101	2.008205883	4.044293189	4.762678414	4.337280693	3.83150757	6.135438844	4.584953314
ACOT12	na	-0.30381365	1.330458243	0.369613412	3.069652159	-0.472042101	2.008205883	0.137402593	1.107326585	-0.186281263	1.024152648	0.77788684	0.061391358
ACOT13	na	5.122451105	4.789889861	7.446429009	3.069652159	3.434848495	3.593168384	3.307327595	3.994851856	5.305571833	3.346080743	4.237318458	3.968281954
ACOT2	na	4.981588569	3.652386338	3.829045031	3.069652159	1.849885994	3.593168384	3.837842311	3.177715913	4.20603616	3.346080743	0.77788684	0.061391358
ACOT4	na	2.018114445	1.330458243	3.829045031	3.069652159	1.1129204	2.008205883	0.137402593	1.107326585	2.135646832	1.024152648	0.77788684	0.061391358
ACOT6	na	-0.30381365	1.330458243	0.369613412	4.65461466	-0.472042101	2.008205883	0.137402593	-1.214601509	-0.186281263	1.024152648	0.77788684	0.061391358
ACOT7	na	2.503541272	4.789889861	5.414007531	3.069652159	-0.472042101	2.008205883	0.137402593	3.82979261	3.720609333	3.346080743	0.77788684	2.86874628
ACOT8	na	5.424106805	2.915420743	3.539538414	3.069652159	2.987389518	3.593168384	2.944757515	4.142950495	4.20603616	3.83150757	3.099814934	3.231316359
ACOT9	na	3.396626068	5.237348838	5.124500914	3.069652159	3.434848495	2.008205883	4.385330107	3.82979261	5.023172103	5.111615489	3.947811841	3.761831076
ACOX1	na	4.088503773	4.500383244	5.924202264	3.069652159	4.657240916	2.008205883	4.224865435	5.680216254	5.922243194	3.83150757	5.301448796	5.944034407
ACOX2	na	2.503541272	4.500383244	3.539538414	3.069652159	2.987389518	5.467637502	6.203491784	4.070800709	4.767915047	2.609115148	0.77788684	3.761831076
ACOX3	na	-0.30381365	1.330458243	4.617540926	3.069652159	2.335312821	2.008205883	2.944757515	5.125248493	5.646608751	4.483584266	3.099814934	4.584953314
ACOXL	na	-0.30381365	1.330458243	0.369613412	3.069652159	-0.472042101	2.008205883	0.137402593	-1.214601509	-0.186281263	1.024152648	2.36284934	0.061391358
ACP1	na	7.584929599	7.111817956	7.80424164	5.877007081	7.135288213	4.330133978	6.613136024	7.038063923	7.108339486	6.954889985	5.822280959	7.462270794
ACP2	na	2.503541272	4.789889861	4.276504008	5.391580254	2.6978829	4.815560805	3.837842311	3.994851856	4.943001754	1.024152648	2.36284934	3.231316359
ACP5	na	4.981588569	4.500383244	3.176968334	3.069652159	3.920275322	2.008205883	3.596834212	5.324557302	4.671699732	4.724592366	4.478326558	5.190674375
